RANK,TIME,ATHLETE/TEAM,GRADE,MEET DATEPLACE
32,09:34.52,LINUS BLATZOwen J. Roberts,2019,"Warrior Invitational1stApr 12, 2019"
33,09:34.67,JACOB HESSLewisburg Area,2022,"PHAC Track and Field Championships 20192ndMay 11, 2019"
34,09:34.82,MIKE DONNELLYHaverford Township HS,2020,"Central League Individual Champs1stMay 8, 2019"
35,09:35.08,NOAH MARTINWarwick,2019,"Lebanon-Lancaster League Championship2ndMay 10, 2019 - May 11, 2019"
36,09:35.41,LUKE KLINGENBERGCumberland Valley,2019,"Mid Penn Championship2ndMay 11, 2019"
37,09:35.57,LIAM MEADMontrose,2019,"PIAA District 2 AA Championship1stMay 15, 2019"
38,09:35.75,AIDEN BARNHILLDowningtown West,2021,"PIAA District 1 AAA Championships5thMay 17, 2019 - May 18, 2019"
39,09:36.04,KEVIN HEEMANWyalusing Valley Area,2019,"PIAA District 4 AA-AAA Championship2ndMay 16, 2019 - May 18, 2019"
40,09:36.46,ANDREW HEALEYHoly Cross High School,2020,"PIAA T&F State Championships7thMay 24, 2019 - May 25, 2019"
41,09:36.71,ANDREW FOSTEREphrata,2019,"Shippensburg 93rd Jack Roddick HS Invitational2ndApr 20, 2019"
42,09:36.73,JAKOLBY FACKLERPalmyra,2021,"PIAA T&F State Championships15thMay 24, 2019 - May 25, 2019"
43,09:36.94,PATRICK THEVENYPenncrest,2020,"31st Father Judge Relays3rdApr 17, 2019"
44,09:37.48,CHRISTIAN MCCOMBBoyertown,2020,"90th Annual John H. Shaner Memorial Track Meet2ndMay 3, 2019 - May 4, 2019"
45,09:37.50,JOEY LITVINLower Merion,2020,"Central League Individual Champs2ndMay 8, 2019"
46,09:38.13,IAGO JOPIAIndiana Area,2020,"Butler Invitational - 55th Annual6thApr 18, 2019"
47,09:38.20,SEAN GARRETTGarnet Valley,2020,"Boys Delco Championship1stMay 2, 2019 - May 4, 2019"
48,09:38.21,CONNOR SHIELDSWarwick,2019,"Lebanon-Lancaster League Championship3rdMay 10, 2019 - May 11, 2019"
49,09:38.24,AIDEN TOMOVHaverford Township HS,2019,"Boys Delco Championship2ndMay 2, 2019 - May 4, 2019"
50,09:38.32,BRADDEN KOORSLaSalle College High School,2020,"PIAA T&F State Championships16thMay 24, 2019 - May 25, 2019"
51,09:38.37,SCOTT ROUTLEDGEWinchester Thurston,2020,"PIAA District 7 (WPIAL) AA Championships1stMay 16, 2019"
52,09:38.38,BRAYDEN HARRISMifflin County High School,2021,"Altoona Mt. Lion Track & Field Classic (Large Schools) AAA2ndMay 3, 2019"
53,09:38.87,DYLAN THROOPGeneral McLane,2021,"PIAA T&F State Championships17thMay 24, 2019 - May 25, 2019"
54,09:39.31,TOBIAS JONESGrove City Area,2020,"Butler Invitational - 55th Annual8thApr 18, 2019"
55,09:39.54,ZACHARY GOULDTrinity Christian,2019,"PIAA District 7 (WPIAL) AA Championships2ndMay 16, 2019"
56,09:39.85,LOGAN STROUSEShikellamy,2019,"22nd Annual LHU High School Classic5thApr 27, 2019"
57,09:40.53,GAVIN MAXWELLKennett,2021,"14th Annual Hoka One One Henderson Invitational16thMay 3, 2019"
58,09:41.14,HAYDEN HUNTShippensburg,2020,"Mid Penn Championship3rdMay 11, 2019"
59,09:41.99,JOSEPH OZGAREaston Area,2019,"PIAA T&F State Championships20thMay 24, 2019 - May 25, 2019"
60,09:42.10,BEN ST. PIERREState College Area High School,2020,"PIAA District 6 AAA Championships2ndMay 16, 2019"
61,09:42.16,DARION GREGORYSmethport Area,2019,"PIAA T&F State Championships12thMay 24, 2019 - May 25, 2019"
62,09:42.41,MATT SANDIFERGermantown Academy,2020,"14th Annual Hoka One One Henderson Invitational17thMay 3, 2019"
63,09:42.74,DIEGO SPIELMAN-RODRIGUEZFriends' Central,2021,"14th Annual Hoka One One Henderson Invitational18thMay 3, 2019"
64,09:42.90,DOUG HALLMANShikellamy,2019,"PIAA District 4 AA-AAA Championship2ndMay 16, 2019 - May 18, 2019"
64,09:42.90,GRIFFIN PUMILIALaSalle College High School,2020,"14th Annual Hoka One One Henderson Invitational19thMay 3, 2019"
66,09:43.00,BENJAMIN KLINGERPenncrest,2021,"31st Father Judge Relays4thApr 17, 2019"
67,09:43.29,ALEX JUBERTNorwin,2021,"46th Annual Baldwin Invitational7thMay 3, 2019"
68,09:43.47,ALEX SHAWUpper Saint Clair,2020,"15th Annual South Hills Classic2ndApr 6, 2019"
69,09:43.51,CONNOR VOLK-KLOSSeneca Valley,2019,"PIAA District 7 (WPIAL) AAA Championships8thMay 16, 2019"
70,09:43.66,BRENDON SHEAHershey,2020,"Mid Penn Championship5thMay 11, 2019"
71,09:43.74,BEN HOFFMANElk County Catholic,2020,"46th Annual Baldwin Invitational8thMay 3, 2019"
72,09:43.92,ANTHONY LITRENTANew Castle,2020,"Pine-Richland Invitational4thMay 3, 2019"
73,09:44.19,ALEX KANESouthern Lehigh,2022,"EPC/Colonial Conference Championships1stMay 7, 2019 - May 8, 2019"
74,09:44.27,BRADY BIGGERState College Area High School,2021,"PIAA District 6 AAA Championships3rdMay 16, 2019"
75,09:44.43,DYLAN DANOWSKIPerkiomen Valley,2020,"14th Annual Hoka One One Henderson Invitational21stMay 3, 2019"
76,09:44.46,PEYTON JONESElk Lake High School,2019,"Red & Black Invitational3rdApr 18, 2019"
77,09:44.52,MARCO CARDONEEaston Area,2020,"PIAA District XI AAA Championship3rdMay 15, 2019 - May 16, 2019"
78,09:44.78,LUKE HINEGARDNERCedar Crest,2022,"Lebanon-Lancaster League Championship5thMay 10, 2019 - May 11, 2019"
79,09:44.81,SCOTT NALEPANorth Allegheny,2022,"46th Annual Baldwin Invitational9thMay 3, 2019"
80,09:44.88,JONATHAN THRUSHMuhlenberg,2020,"2019 BCIAA Firing Championship2ndMay 9, 2019 - May 11, 2019"
81,09:44.89,JAKE BARRETTCedar Crest,2019,"Shippensburg 93rd Jack Roddick HS Invitational4thApr 20, 2019"
82,09:44.96,DALTON KALBAUGHShaler Area,2020,"Pine-Richland Invitational5thMay 3, 2019"
83,09:45.07,IAN SHERLOCKNorthern Bedford,2020,"PIAA T&F State Championships14thMay 24, 2019 - May 25, 2019"
84,09:45.14,COLTON LOREMANMilton Area,2020,"PIAA District 4 AA-AAA Championship4thMay 16, 2019 - May 18, 2019"
85,09:45.17,ZACHARY BRILLMalvern Prep,2022,"14th Annual Hoka One One Henderson Invitational22ndMay 3, 2019"
86,09:45.37,DAMEIN MOSERWarrior Run,2020,"22nd Annual LHU High School Classic9thApr 27, 2019"
87,09:45.46,MORGAN O'BRIENBangor Area,2019,"PIAA District XI AAA Championship4thMay 15, 2019 - May 16, 2019"
88,09:45.80,MATTHEW CHAIKOWSKYSaucon Valley,2021,"PIAA District XI AAA Championship5thMay 15, 2019 - May 16, 2019"
89,09:45.96,JACK AULBACHBlackhawk,2020,"Pine-Richland Invitational6thMay 3, 2019"
90,09:46.02,LUKE CIMAKASKYCentral Bucks West,2020,"SOL Continental Conference Championships2ndMay 10, 2019 - May 11, 2019"
91,09:46.14,RYAN BAHRHughesville,2020,"22nd Annual LHU High School Classic10thApr 27, 2019"
92,09:46.18,ADAM LAUERShady Side Academy,2021,"Pine-Richland Invitational7thMay 3, 2019"
93,09:46.66,CHRISTIAN GAGLIARDIWilson (3),2020,"14th Annual Hoka One One Henderson Invitational24thMay 3, 2019"
94,09:46.81,ALEX MILLERJ.P. McCaskey,2022,"14th Annual Hoka One One Henderson Invitational25thMay 3, 2019"
95,09:46.99,AIDEN GONDERRed Land,2020,"Mid Penn Championship8thMay 11, 2019"
96,09:47.12,ADAM HESSLERFreedom Area (7),2020,"15th Annual South Hills Classic3rdApr 6, 2019"
97,09:47.31,LUCAS PAJAKRinggold,2021,"46th Annual Baldwin Invitational10thMay 3, 2019"
98,09:47.40,JOSH CHRISTIANSONScranton,2020,"Shippensburg 93rd Jack Roddick HS Invitational5thApr 20, 2019"
99,09:48.43,COLE DRIVERUnionville,2019,"Ches-Mont Championship1stMay 8, 2019"
100,09:48.45,DIEGO LERA-LOZANOPennridge,2021,"SOL Continental Conference Championships3rdMay 10, 2019 - May 11, 2019"
101,09:48.73,GRAHAM THOMASPenn Manor,2021,"Lebanon-Lancaster League Championship8thMay 10, 2019 - May 11, 2019"
102,09:49.03,NATHAN GRUCELSKIConestoga Valley,2019,"12th Cy Fritz Open presented by Penn Medicine LGH Sports Med1stApr 26, 2019"
103,09:49.14,SAABIR ALIOverbrook,2019,"12th Annual Viking Invitational1stApr 13, 2019"
104,09:49.49,PETER COSENTINOMount Lebanon,2019,"P3R South Fayette Invitational2ndApr 27, 2019"
105,09:49.75,JEFFREY LOVEGeorge School,2019,"Friends League Championships1stMay 11, 2019"
106,09:50.14,NICHOLAS BOWERParkland,2019,"EPC/Colonial Conference Championships4thMay 7, 2019 - May 8, 2019"
107,09:50.16,BEN KUHNWyomissing Area,2020,"90th Annual John H. Shaner Memorial Track Meet3rdMay 3, 2019 - May 4, 2019"
108,09:50.17,COLE FRANKLiberty,2021,"ASD Invitational1stApr 18, 2019"
109,09:50.19,MITCHELL ROMEDallas,2019,"PIAA District 2 AAA Championship2ndMay 16, 2019"
110,09:50.31,TRENTIN OVERCASHChambersburg,2019,"31st Annual Stan Morgan Invitational at Carlisle2ndMay 4, 2019"
111,09:50.38,LEVI HALYEHamburg Area,2019,"2019 BCIAA Firing Championship3rdMay 9, 2019 - May 11, 2019"
112,09:50.44,BRAYDEN BOYDChambersburg,2021,"Mid Penn Championship10thMay 11, 2019"
113,09:50.49,ETHAN SAVILLEPennridge,2020,"SOL Continental Conference Championships4thMay 10, 2019 - May 11, 2019"
114,09:50.58,KYLE KUTNEYCouncil Rock South,2019,"14th Annual Hoka One One Henderson Invitational28thMay 3, 2019"
115,09:50.67,JASON ABAHAZYPenncrest,2020,"31st Father Judge Relays8thApr 17, 2019"
116,09:50.68,ZANE COURTWRIGHTNorth East,2020,"Erie County Track & Field Classic2ndMay 9, 2019"
117,09:50.80,SEAMUS MCGUOIRKCentral,2019,"31st Father Judge Relays9thApr 17, 2019"
118,09:51.52,EVAN PEACHEYCarlisle,2021,"Mid Penn Championship11thMay 11, 2019"
119,09:51.90,PETER WOLFWilson (3),2021,"2019 BCIAA Firing Championship5thMay 9, 2019 - May 11, 2019"
120,09:51.94,ERIK ANDRZEJEWSKIGeneral McLane,2019,"Rock Relays2ndApr 20, 2019"
120,09:51.94,WAYNE REILLYMinersville Area,2019,"PIAA T&F State Championships16thMay 24, 2019 - May 25, 2019"
122,09:52.02,BRIAN MCGARRITYMsgr Bonner & Abp Prendergast HS,2021,"31st Father Judge Relays10thApr 17, 2019"
123,09:52.09,ETHAN ROGERSHershey,2020,"14th Annual Hoka One One Henderson Invitational30thMay 3, 2019"
124,09:52.10,COLE ADAMSYork Suburban,2022,"YAIAA Track and Field League Championships1stMay 10, 2019"
125,09:52.55,MASON OCHSRiverview,2021,"PIAA T&F State Championships17thMay 24, 2019 - May 25, 2019"
126,09:52.73,JOSHUA LEWINWest Chester East,2020,"Haverford Invitational1stMar 30, 2019"
127,09:52.99,DEVON COMBERHatboro Horsham,2021,"Springfield, Upper Dublin, Upper Moreland @ Hatboro Horsham1stApr 17, 2019"
128,09:53.05,ADEN DRESSLERButler,2019,"46th Annual Baldwin Invitational11thMay 3, 2019"
129,09:53.06,STEFANO ISABELLAHatboro Horsham,2020,"Springfield, Upper Dublin, Upper Moreland @ Hatboro Horsham2ndApr 17, 2019"
130,09:53.34,AAKASH KODURUMercersburg Academy,2020,"MAPL Outdoor Championship1stMay 11, 2019"
131,09:53.47,SAM ELSENUnionville,2021,"Ches-Mont Championship2ndMay 8, 2019"
132,09:53.52,ETHAN MCINTYREUnionville,2021,"Chesmont American Division Super Meet2ndApr 3, 2019 - Apr 10, 2019"
133,09:53.57,JAMES ZOLADanville Area,2019,"4th Annual Don Wilhour Selinsgrove Classic4thApr 6, 2019"
134,09:53.78,KEVIN HAASBlue Mountain,2020,"Schuylkill League Track and Field Championships1stMay 7, 2019 - May 8, 2019"
135,09:53.79,STEPHEN SCHOUSENJ.P. McCaskey,2021,"14th Annual Hoka One One Henderson Invitational31stMay 3, 2019"
136,09:53.83,JOSH FINGERHUTHaverford Township HS,2020,"Haverford Invitational2ndMar 30, 2019"
137,09:53.92,REID WEBERNorthern,2021,"31st Annual Stan Morgan Invitational at Carlisle3rdMay 4, 2019"
138,09:54.28,GAVIN BROPHYWest Chester Henderson,2022,"14th Annual Hoka One One Henderson Invitational32ndMay 3, 2019"
139,09:54.55,VAN MAYBedford,2021,"Bedford Giant Eagle Invitational1stApr 6, 2019"
140,09:54.76,JOSIAH HELMERLower Dauphin,2019,"Shippensburg 93rd Jack Roddick HS Invitational7thApr 20, 2019"
141,09:54.85,LUKE SEYMOURSchuylkill Valley,2022,"PIAA District 3 AA Championships2ndMay 17, 2019 - May 18, 2019"
142,09:54.93,NOAH TAYLORTwin Valley,2021,"2019 BCIAA Firing Championship6thMay 9, 2019 - May 11, 2019"
143,09:55.07,GABE TOMBLINBoiling Springs,2019,"31st Annual Stan Morgan Invitational at Carlisle4thMay 4, 2019"
144,09:55.09,BRENDAN COLWELLPenns Valley Area,2021,"PIAA District 6 AA Championships3rdMay 15, 2019"
145,09:55.24,ZACHARY LANDVIK-LARSENStroudsburg,2019,"EPC/Colonial Conference Championships5thMay 7, 2019 - May 8, 2019"
146,09:55.41,ALEX BULLARDLower Merion,2022,"14th Annual Hoka One One Henderson Invitational33rdMay 3, 2019"
147,09:55.53,PATRICK STEVENSMeadville Area,2020,"46th Annual Baldwin Invitational12thMay 3, 2019"
148,09:55.62,JAMES CONWAYUnionville,2019,"14th Annual Hoka One One Henderson Invitational34thMay 3, 2019"
149,09:55.74,CHARLIE MILLERConestoga,2021,"PW Colonial Classic4thApr 6, 2019"
150,09:55.84,HUNTER ARMSTRONGMarion Center Area,2020,"PIAA District 6 AA Championships4thMay 15, 2019"
151,09:56.16,BEN DATTEDowningtown West,2020,"Ches-Mont Championship3rdMay 8, 2019"
152,09:56.28,DEVAN BAILEYCathedral Prep,2020,"Pine-Richland Invitational10thMay 3, 2019"
153,09:56.30,RYAN PODNARNorth Allegheny,2022,"46th Annual Baldwin Invitational13thMay 3, 2019"
154,09:56.92,JOSIAH MOYERSouderton Area,2019,"Helman Memorial Invitational2ndMay 2, 2019"
155,09:57.01,GARRETT CAMPBELLMethacton,2019,"PW Colonial Classic5thApr 6, 2019"
156,09:57.02,JAMES OLSONThe Hill School,2021,"PA Independent School Athletic Association (PAISAA) Championship5thMay 18, 2019"
157,09:57.07,PATRICK MALONEWinchester Thurston,2021,"46th Annual Baldwin Invitational15thMay 3, 2019"
158,09:57.15,ALEXANDER SCHULTZWissahickon,2022,"Trojan Track Classic2ndMay 2, 2019"
158,09:57.15,TIMOTHY PATTERSONButler,2020,"Butler Invitational - 55th Annual16thApr 18, 2019"
160,09:57.49,VINCENT FENNELLOwen J. Roberts,2020,"14th Annual Hoka One One Henderson Invitational36thMay 3, 2019"
161,09:57.70,JACK HARRINGTONLaSalle College High School,2020,"Philadelphia Catholic League Outdoor Championships4thMay 11, 2019"
162,09:57.75,MAX MANGANIELLOLaSalle College High School,2021,"Philadelphia Catholic League Outdoor Championships5thMay 11, 2019"
163,09:58.13,OWEN BARTLEBAUGHPunxsutawney Area,2020,"Bedford Giant Eagle Invitational2ndApr 6, 2019"
164,09:58.23,QUINTIN GATONSGreensburg Salem,2021,"Butler Invitational - 55th Annual17thApr 18, 2019"
165,09:58.30,GARY WATERSMilton Hershey,2019,"Mid Penn Championship12thMay 11, 2019"
166,09:58.47,CHRIS SAYERWilson (3),2020,"2019 BCIAA Firing Championship7thMay 9, 2019 - May 11, 2019"
167,09:59.00,DOMENIC MOSERWest Chester East,2020,"Ches-Mont Championship4thMay 8, 2019"
167,09:59.00,JOSIAH MCCLYMONTRed Land,2019,"Mid Penn Championship14thMay 11, 2019"
169,09:59.39,BOBBY LYNAMGermantown Friends School,2021,"14th Annual Hoka One One Henderson Invitational38thMay 3, 2019"
170,09:59.40,JACOB MAVRETICMillersburg,2020,"31st Annual Stan Morgan Invitational at Carlisle7thMay 4, 2019"
171,09:59.48,KYLE COSTELLOMechanicsburg Area High School,2020,"Mid Penn Championship15thMay 11, 2019"
172,09:59.56,BRENDAN FLYNNDowningtown East,2022,"Ches-Mont Championship5thMay 8, 2019"
173,09:59.64,TREY RHINEHARTEaston Area,2021,"EPC/Colonial Conference Championships7thMay 7, 2019 - May 8, 2019"
174,09:59.67,TEDDY BOEHMBaldwin,2020,"46th Annual Baldwin Invitational16thMay 3, 2019"
175,09:59.74,THOMAS DAMIANIOwen J. Roberts,2022,"Warrior Invitational7thApr 12, 2019"
176,09:59.86,TYLER STEVENSManheim Township,2022,"Lebanon-Lancaster League Championship11thMay 10, 2019 - May 11, 2019"
177,09:59.87,SAM KARTSONISHarriton,2020,"Boys: Upper Darby v Springfield v Harriton v Haverford1stApr 10, 2019"
178,09:59.99,AIDEN WEBERHarbor Creek,2019,"46th Annual Baldwin Invitational17thMay 3, 2019"
179,10:00.00,KEMUEL LAUDERMILCHWyalusing Valley Area,2020,"Athens, Wyalusing, @ Canton2ndApr 30, 2019"
180,10:00.08,HARRISON BARNETTNorwin,2020,"Butler Invitational - 55th Annual18thApr 18, 2019"
181,10:00.12,SIMON SCHMIEDERLower Merion,2022,"14th Annual Hoka One One Henderson Invitational39thMay 3, 2019"
182,10:00.31,MICHAEL SEARCHGreat Valley,2021,"Ches-Mont Championship6thMay 8, 2019"
183,10:00.32,THOMAS CHIMESMethacton,2019,"14th Annual Hoka One One Henderson Invitational40thMay 3, 2019"
184,10:00.39,MICHAEL GRECHANYYFairview,2021,"Pine-Richland Invitational12thMay 3, 2019"
185,10:00.60,ANDREW HIRNEISENGettysburg Area High School,2020,"Shippensburg 93rd Jack Roddick HS Invitational10thApr 20, 2019"
186,10:00.76,MASON SHIREYOley Valley,2020,"PIAA District 3 AA Championships3rdMay 17, 2019 - May 18, 2019"
187,10:00.84,TROY HARTReynolds,2020,"Pine-Richland Invitational13thMay 3, 2019"
188,10:00.98,LUKE TALHAMAvon Grove,2020,"West Chester East vs. Avon Grove2ndApr 29, 2019"
189,10:01.17,MILES GOMEZ-YOUNKINGermantown Friends School,2019,"Haddonfield Distance Night1stMay 20, 2019"
190,10:01.19,COLTON BOUCHERNazareth Area,2019,"Red & Black Invitational12thApr 18, 2019"
191,10:01.22,CJ SINGLETONSaint Joseph High School,2022,"PIAA District 7 (WPIAL) AA Championships5thMay 16, 2019"
192,10:01.47,JAKE FOLARONKiski Area,2021,"46th Annual Baldwin Invitational18thMay 3, 2019"
193,10:01.51,TUCKER DAVISIndiana Area,2021,"Butler Invitational - 55th Annual19thApr 18, 2019"
194,10:01.72,CADE SANDSCentral Bucks East,2019,"SOL Continental Conference Championships5thMay 10, 2019 - May 11, 2019"
195,10:01.88,BENNETT NORTONState College Area High School,2021,"Altoona Mt. Lion Track & Field Classic (Large Schools) AAA6thMay 3, 2019"
196,10:01.95,ELIAS SPENCEShippensburg,2021,"31st Annual Stan Morgan Invitational at Carlisle8thMay 4, 2019"
197,10:02.02,ANTHONY KOSITZNazareth Area,2021,"Red & Black Invitational13thApr 18, 2019"
198,10:02.06,PATRICK COYLELaSalle College High School,2021,"Philadelphia Catholic League Outdoor Championships6thMay 11, 2019"
199,10:02.14,NOAH DEMISNorth Penn,2020,"11th Annual Jack Armstrong Invitational Track and Field Meet2ndApr 17, 2019"
200,10:02.27,EVAN HARTLewisburg Area,2021,"PIAA District 4 AA-AAA Championship7thMay 16, 2019 - May 18, 2019"
1,10:02.42,THOMAS FOSTERWyomissing Area,2020,"PIAA District 3 AA Championships5thMay 17, 2019 - May 18, 2019"
201,10:02.42,RYAN CORSELLOCoatesville,2019,"Ches-Mont Championship8thMay 8, 2019"
203,10:02.49,ELI ANISHTaylor Allderdice,2020,"15th Annual South Hills Classic8thApr 6, 2019"
204,10:02.54,ETHAN GAMBLERinggold,2020,"46th Annual Baldwin Invitational19thMay 3, 2019"
205,10:02.57,TYLER DAVIESCentral Columbia,2021,"PIAA District 4 AA-AAA Championship8thMay 16, 2019 - May 18, 2019"
206,10:02.72,ALEXANDER WOODMercersburg Academy,2019,"Shippensburg 93rd Jack Roddick HS Invitational2ndApr 20, 2019"
207,10:02.90,JOHN ZAWISLAKSpring Ford,2021,"Spring Ford vs Methacton2ndApr 2, 2019"
208,10:02.95,STEPHEN HAGGERTYAbington Heights,2019,"The Robert Spagna Championship5thMay 7, 2019"
209,10:02.98,JOEY BUEHNERNorth Hills,2019,"PIAA District 7 (WPIAL) AAA Championships17thMay 16, 2019"
210,10:03.00,CALEB MANDELHarbor Creek,2019,"34th McDowell Invitational2ndApr 27, 2019"
211,10:03.19,CHRISTOPHER SEARSCouncil Rock South,2020,"S.O.L. National Conference Championships2ndMay 10, 2019 - May 11, 2019"
212,10:03.33,SHANE GOLDMANCouncil Rock South,2020,"S.O.L. National Conference Championships3rdMay 10, 2019 - May 11, 2019"
213,10:03.59,SHANE CURRANFather Judge,2021,"Philadelphia Catholic League Outdoor Championships7thMay 11, 2019"
214,10:03.64,NATHAN YODERLancaster Mennonite,2019,"PIAA District 3 AA Championships6thMay 17, 2019 - May 18, 2019"
215,10:03.77,DAVID MANSELLGovernor Mifflin,2020,"2019 BCIAA Firing Championship10thMay 9, 2019 - May 11, 2019"
216,10:03.95,SEAN MCDONALDDowningtown East,2020,"Ches-Mont Championship9thMay 8, 2019"
217,10:04.11,HUNTER FOUSTHughesville,2022,"PHAC Track and Field Championships 20197thMay 11, 2019"
218,10:04.28,BEN ROSINGermantown Friends School,2020,"Haddonfield Distance Night2ndMay 20, 2019"
219,10:04.41,NOAH PETERSENSeneca Valley,2022,"Marcie Peaco (SV) Freshman/Sophomore Invite1stApr 18, 2019"
220,10:04.53,HANSON LEUNGWissahickon,2020,"Trojan Track Classic4thMay 2, 2019"
221,10:04.86,WEBER LONGGreencastle-Antrim,2022,"31st Annual Stan Morgan Invitational at Carlisle10thMay 4, 2019"
222,10:04.89,DAN GIBNEYKennard-Dale,2021,"Blue Jay High School Invitational1stApr 20, 2019"
223,10:05.01,ETHAN RIBELINPerkiomen Valley,2020,"Pioneer Athletic Conference Championship7thMay 10, 2019 - May 11, 2019"
224,10:05.24,BRAYDEN GRAHAMStroudsburg,2020,"EPC/Colonial Conference Championships8thMay 7, 2019 - May 8, 2019"
225,10:05.25,JOHN DAVISCouncil Rock North,2020,"S.O.L. National Conference Championships4thMay 10, 2019 - May 11, 2019"
226,10:05.48,CARSON HEPNERManheim Central,2019,"Lebanon-Lancaster League Championship12thMay 10, 2019 - May 11, 2019"
227,10:05.49,DAVID GLUCKMANState College Area High School,2020,"Mid Penn Championship18thMay 11, 2019"
228,10:05.67,RAY TRUEXEphrata,2020,"Shippensburg 93rd Jack Roddick HS Invitational15thApr 20, 2019"
229,10:05.79,AMIR CUBBAGEAbington,2020,"SOL American Conference Championships3rdMay 10, 2019 - May 11, 2019"
230,10:06.06,MATTHEW CHYLACKDowningtown West,2020,"14th Annual Hoka One One Henderson Invitational43rdMay 3, 2019"
231,10:06.17,JOSH HOLMESHampton,2020,"Butler Invitational - 55th Annual21stApr 18, 2019"
232,10:06.41,HAYDEN COATESGreat Valley,2019,"16th Annual Unionville Invitational4thApr 27, 2019"
233,10:06.44,CASEY FRANKLiberty,2020,"EPC/Colonial Conference Championships9thMay 7, 2019 - May 8, 2019"
234,10:06.45,STEVEN KUREKWest Chester Henderson,2019,"Ches-Mont Championship10thMay 8, 2019"
235,10:06.50,BROCK PENNINGTONNorth East,2021,"Harbor Creek Track & Field Invitational3rdApr 13, 2019"
236,10:06.59,BEN MCGRATHLaSalle College High School,2020,"Philadelphia Catholic League Outdoor Championships8thMay 11, 2019"
237,10:06.66,SAGE VAVROButler,2022,"TSTCA Outdoor Championship5thApr 13, 2019"
