RANK,MARK,ATHLETE/TEAM,GRADE,MEET DATEPLACE
20,187-5,NICK SMITHERGrove City Area,2019,"Mercer County Track and Field Invitational1stMay 9, 2019"
20,187-5,NOAH WEESESharon,2020,"PIAA T&F State Championships2ndMay 24, 2019 - May 25, 2019"
22,186-7.75,CHRIS SALKOWSKIUnattached Club,2020,"USATF Region 2 Junior Olympic Championships1stJul 11, 2019 - Jul 14, 2019"
23,186-1,JOSHUA GIBSONPenn Manor,2020,"PIAA District 3 AAA Championships3rdMay 17, 2019 - May 18, 2019"
24,185-7,BEN RADONOVICHWest Perry,2019,"PIAA District 3 AAA Championships4thMay 17, 2019 - May 18, 2019"
25,184-6,BLAKE LIPKOBlue Mountain,2020,"11th Olympian Invite2ndMay 3, 2019"
26,184-5,BRENDEN NAUMANEastern Lebanon County,2019,"PIAA District 3 AAA Championships5thMay 17, 2019 - May 18, 2019"
27,183-3,MICHAEL FOLCARELLIAltoona Area,2019,"43rd Annual Altoona Area Igloo Invitational1stMar 30, 2019"
28,182-9,CHALMERS STROUPUpper Perkiomen,2019,"Pioneer Athletic Conference Championship1stMay 10, 2019 - May 11, 2019"
29,182-3,MICHAEL STOUTExeter Township,2019,"PIAA District 3 AAA Championships6thMay 17, 2019 - May 18, 2019"
30,181-1,HENRY COTTERILLBlue Mountain,2020,"Schuylkill League Track and Field Championships1stMay 7, 2019 - May 8, 2019"
31,180-8,HUNTER DORNPalmyra,2019,"Mid Penn Championship4thMay 11, 2019"
32,180-5,COLE HEINTZELMANCentral Columbia,2020,"PIAA District 4 AA-AAA Championship1stMay 16, 2019 - May 18, 2019"
33,179-8,IAN CALLENClarion Limestone,2019,"PIAA District 9 AAA and AA Championship1stMay 17, 2019"
34,179-5,DANNY HANSSENWilmington,2019,"West Middlesex Invitational2ndApr 6, 2019"
35,177-0,KALEB HILYERBishop Carroll,2020,"PIAA District 6 AA Championships1stMay 15, 2019"
36,175-10,JUAN VAZQUEZ MCPHERSONJ.P. McCaskey,2019,"PIAA District 3 AAA Championships7thMay 17, 2019 - May 18, 2019"
37,175-6,GAVIN LIVERMOREMontoursville Area,2021,"PIAA District 4 AA-AAA Championship2ndMay 16, 2019 - May 18, 2019"
37,175-6,DAVID FYOCKPurchase Line,2019,"PIAA District 6 AA Championships2ndMay 15, 2019"
39,175-4,ELIJAH COOKBedford,2021,"PIAA District V Championship Meet1stMay 15, 2019"
40,174-10,ALEX STOEFFLERLampeter Strasburg,2019,"17th Annual Black Knight Invitational2ndApr 13, 2019"
41,174-9,MATTHEW SAXEUnattached - PA,2020,"New Balance Nationals Outdoor16thJun 13, 2019 - Jun 16, 2019"
42,174-8,MYLES BARBOURWilliamsport Area,2020,"PIAA District 4 AA-AAA Championship2ndMay 16, 2019 - May 18, 2019"
42,174-8,NATE CROWLSouthern Columbia Area,2020,"PIAA District 4 AA-AAA Championship3rdMay 16, 2019 - May 18, 2019"
44,174-6,BEN HORSTEastern Lebanon County,2020,"14th Annual Hoka One One Henderson Invitational3rdMay 3, 2019"
45,173-6,NOLAN BEAGELLLiberty,2019,"EPC/Colonial Conference Championships4thMay 7, 2019 - May 8, 2019"
46,173-2,JAMES WATSONUnattached Club,,"GA 2019 All-Comers Track & Field Meet Series #31stJul 2, 2019"
47,173-0,IAN PERSINGDanville Area,2021,"PIAA District 4 AA-AAA Championship3rdMay 16, 2019 - May 18, 2019"
47,173-0,EJ MILLERWaynesboro,2020,"PIAA District 3 AAA Championships9thMay 17, 2019 - May 18, 2019"
49,172-10,CAEL RAPPDonegal,2019,"Lebanon-Lancaster League Championship1stMay 10, 2019 - May 11, 2019"
50,172-7,JACOB BOORDHempfield Area (7),2020,"PIAA District 7 (WPIAL) AAA Championships1stMay 16, 2019"
51,172-4,FJ BRACCINIWyoming Area,2020,"American JavFest1stJun 28, 2019 - Jun 30, 2019"
52,172-1,SEAN LECONEYNorth Penn,2019,"PIAA District 1 AAA Championships5thMay 17, 2019 - May 18, 2019"
53,171-11,NOEL HOUSELower Merion,2020,"Central League Individual Champs2ndMay 8, 2019"
54,171-10,HUNTER LINDSAYSouth Park High School,2019,"PIAA T&F State Championships8thMay 24, 2019 - May 25, 2019"
55,171-9,JACK RODENBERGERManheim Township,2019,"Lebanon-Lancaster League Championship2ndMay 10, 2019 - May 11, 2019"
56,171-7,BRENT CLUTTERTrinity (7),2020,"PIAA District 7 (WPIAL) AAA Championships2ndMay 16, 2019"
57,171-5,DEREK TOSTENBiglerville,2019,"PIAA District 3 AA Championships2ndMay 17, 2019 - May 18, 2019"
58,171-2,NOAH GOICOECHEAEast Stroudsburg Area South,2019,"East Stroudsburg South vs Pocono Mountain West1stMar 25, 2019"
58,171-2,KYLE MACBETHBrookville Area,2021,"Brookville vs. Clarion1stMar 25, 2019"
60,170-8,AARON HUMMERHanover Area,2019,"PIAA District 2 AA Championship2ndMay 15, 2019"
61,169-3,RYAN BROUSEDanville Area,2019,"4th Annual Don Wilhour Selinsgrove Classic1stApr 6, 2019"
62,168-8,MATT CAPECEMethacton,2019,"PIAA District 1 AAA Championships6thMay 17, 2019 - May 18, 2019"
63,168-6,JACOB RUDYTamaqua Area,2019,"Mount Carmel Area Breslin Invitational2ndApr 18, 2019"
64,168-3,SEAN NORTHCOTTSlippery Rock Area,2019,"West Middlesex Invitational3rdApr 6, 2019"
65,168-0,TRAE DEVLINCentral Columbia,2019,"PIAA District 4 AA-AAA Championship4thMay 16, 2019 - May 18, 2019"
66,167-10,DOMINIC DELUCAWyoming Area,2020,"PIAA District 2 AAA Championship4thMay 16, 2019"
67,167-9,DYLAN MURPHEY WALCKWestern Wayne,2019,"PIAA District 2 AA Championship3rdMay 15, 2019"
68,166-10,ALEC BUTTNERScranton Preparatory School,2019,"The Robert Spagna Championship2ndMay 7, 2019"
69,166-7,AARON HOTTELKane Area,2020,"PIAA District 9 AAA and AA Championship2ndMay 17, 2019"
70,166-3,ADAM PARKSaint Marys Area,2019,"PIAA District 9 AAA and AA Championship1stMay 17, 2019"
70,166-3,JONATHAN CRAMERWilliamsport Area,2020,"PIAA District 4 AA-AAA Championship4thMay 16, 2019 - May 18, 2019"
72,166-1,ETHAN MOYERSouderton Area,2019,"PIAA District 1 AAA Championships7thMay 17, 2019 - May 18, 2019"
73,166-0,WILL RODGERSCommodore Perry,2019,"Mercer County Track and Field Invitational2ndMay 9, 2019"
73,166-0,CJ DIPPRELakeland,2021,"The Robert Spagna Championship3rdMay 7, 2019"
75,165-9,CAMERON SAPOLAConnellsville,2019,"PIAA District 7 (WPIAL) AAA Championships3rdMay 16, 2019"
76,164-7,HUNTER BAKEWELLYough,2021,"PIAA District 7 (WPIAL) AA Championships3rdMay 16, 2019"
77,164-6.5,JACOB WEIGANDMountain Top Track & Field Club,,"Three Rivers Association Championships1stJun 22, 2019 - Jun 23, 2019"
78,164-4,ROMAN LISICKYSouthern Lehigh,2020,"EPC/Colonial Conference Championships4thMay 7, 2019 - May 8, 2019"
79,164-1,ZACH REBARMid Valley Sr. High School,2020,"PIAA District 2 AA Championship4thMay 15, 2019"
80,163-7,WILL RIVERSManheim Central,2019,"Lebanon-Lancaster League Championship6thMay 10, 2019 - May 11, 2019"
81,163-6,KYLE GUILFOILWest Allegheny,2019,"MAC Meet1stApr 24, 2019"
81,163-6,HUDSON HOLBAYWestmont Hilltop,2021,"PIAA District 6 AA Championships3rdMay 15, 2019"
83,163-2,DARIAN STORTIOwen J. Roberts,2019,"14th Annual Hoka One One Henderson Invitational5thMay 3, 2019"
84,163-1,STONE HOLLENBACHSouthern Columbia Area,2019,"PIAA District 4 AA-AAA Championship5thMay 16, 2019 - May 18, 2019"
85,162-10,NOAH PALMCocalico,2020,"PIAA District 3 AAA Championships14thMay 17, 2019 - May 18, 2019"
86,162-8,RYAN HARVEYGeneral McLane,2021,"PIAA District 10 Class AAA Championships2ndMay 18, 2019"
87,162-3,SHEAMUS MCCARROLLPocono Mountain West,2020,"East Stroudsburg South vs Pocono Mountain West2ndMar 25, 2019"
88,162-0,CRAIG DERRMahanoy Area,2021,"American JavFest5thJun 28, 2019 - Jun 30, 2019"
89,161-8,BRANDON ISHMANPunxsutawney Area,2021,"PIAA District 9 AAA and AA Championship2ndMay 17, 2019"
89,161-8,BARRETT WALTERSJuniata,2020,"Altoona Mt. Lion Track & Field Classic (Small Schools) AA4thMay 3, 2019"
91,161-7.75,NICHOLAS MARINAKMountain Top Track & Field Club,2020,"Three Rivers Association Championships2ndJun 22, 2019 - Jun 23, 2019"
92,161-5,RYAN VAUGHNNeshaminy,2020,"Montgomery Memorial Track and Field Meet1stMay 2, 2019"
93,161-3,NICK MARINAKPenn Cambria,2021,"United Invitational3rdApr 6, 2019"
93,161-3,NIKOLAS KAROLYEast Pennsboro Area SD,2019,"Mid Penn Championship6thMay 11, 2019"
95,160-8,PATRICK GARVEYNazareth Area,2020,"Allentown Central Catholic @ Nazareth2ndApr 1, 2019"
96,160-7,RAIVIS BOBBYElk County Catholic,2021,"PIAA District 9 AAA and AA Championship3rdMay 17, 2019"
96,160-7,WYATT SALMONGrove City Area,2019,"Mercer County Track and Field Invitational4thMay 9, 2019"
98,160-5,MICHAEL ANTONYUKMifflinburg,2020,"Jim Taylor High School Classic (formerly Susq.HS Classic)2ndApr 13, 2019"
99,160-0,SEAN STACKOil City,2021,"Rock Relays2ndApr 20, 2019"
100,159-8,ARYAN COTTERMANMeadville Area,2020,"PIAA District 10 Class AAA Championships3rdMay 18, 2019"
100,159-8,JACOB WEIGANDPenn Cambria,2019,"Altoona Mt. Lion Track & Field Classic (Small Schools) AA5thMay 3, 2019"
102,159-6,MATT MARANSKYDallas,2020,"11th Olympian Invite4thMay 3, 2019"
103,159-5,NOAH MECKESCrestwood,2020,"PIAA District 2 AAA Championship5thMay 16, 2019"
104,158-9,COLE WEISTTussey Mountain,2019,"ICC Championship Meet1stMay 6, 2019"
104,158-9,CHASE WHATTONElizabeth Forward,2021,"46th Annual Baldwin Invitational3rdMay 3, 2019"
104,158-9,ZACH CODERMount Union Area,2020,"PIAA District 6 AA Championships4thMay 15, 2019"
107,158-8,JASON WAGNERPerkiomen Valley,2019,"Pioneer Athletic Conference Championship4thMay 10, 2019 - May 11, 2019"
108,158-3,BRANDON CONNORDuBois Area,2021,"PIAA District 9 AAA and AA Championship3rdMay 17, 2019"
109,158-2,ASHTON SEIPNorthern Lebanon,2020,"Lebanon County Championships4thApr 27, 2019"
110,158-0,LUKE DOWNSCalvary Christian Academy,2019,"PIAA District 1 AA Championships1stMay 17, 2019 - May 18, 2019"
110,158-0,WILLIAM MUNSONJim Thorpe Area,2019,"PIAA District XI AA Championship2ndMay 15, 2019 - May 16, 2019"
112,157-11,KADE KEGARISEManheim Central,2021,"Battle for Bridge Invitational2ndMay 3, 2019"
113,157-8,CHASE WALTERSWilson (3),2021,"2019 BCIAA Firing Championship4thMay 9, 2019 - May 11, 2019"
114,157-5,CARLOS MAMANIGeneral McLane,2019,"Erie County Track & Field Classic1st PMay 9, 2019"
115,157-3,BRADEN MACBETHBrookville Area,2019,"PIAA District 9 AAA and AA Championship5thMay 17, 2019"
116,157-0,MILES HIGGINSLigonier Valley,2022,"Heritage Conference Championships2ndMay 7, 2019"
116,157-0,DYLAN FARRONATOLewisburg Area,2019,"4th Annual Don Wilhour Selinsgrove Classic3rdApr 6, 2019"
116,157-0,JOSH CASTELLANIValley View,2020,"The Robert Spagna Championship5thMay 7, 2019"
116,157-0,JOE DRESSWest Perry,2019,"Mid Penn Championship7thMay 11, 2019"
116,157-0,JONATHAN DEBELLISHazleton Area,2020,"PIAA District 2 AAA Championship7thMay 16, 2019"
121,156-11,PAUL LIEBELBishop Guilfoyle,2019,"PIAA District 6 AA Championships5thMay 15, 2019"
121,156-11,TYLER WATTSJohnsonburg Area,2020,"PIAA District 9 AAA and AA Championship6thMay 17, 2019"
123,156-10,ISAAC SMITHDanville Area,2019,"PIAA District 4 AA-AAA Championship6thMay 16, 2019 - May 18, 2019"
124,156-9,NATHAN BARNHARTGreenwood,2019,"PIAA District 3 AA Championships3rdMay 17, 2019 - May 18, 2019"
124,156-9,BRANDON NOLDERSouth Allegheny,2019,"PIAA District 7 (WPIAL) AA Championships4thMay 16, 2019"
126,156-8,BRADY BUZZARDStroudsburg,2020,"Pocono Mountain East vs Stroudsburg2ndApr 9, 2019"
127,156-5,GABRIEL HONTZLiberty,2020,"Parkland @ Liberty1stApr 8, 2019"
127,156-5,DAVON TATELower Merion,2019,"Central League JV/ Last Chance Meet2ndMay 10, 2019"
129,156-4,NICK PUIGCedar Cliff,2020,"Mid Penn Championship8thMay 11, 2019"
129,156-4,JACK CHILSONTunkhannock,2021,"PIAA District 2 AAA Championship8thMay 16, 2019"
131,156-1,ISAIAH RODRIGUEZLebanon,2021,"Lebanon County Championships5thApr 27, 2019"
132,155-10,OWEN SHERBINKOSpringfield (Delco),2019,"12th Annual Viking Invitational3rdApr 13, 2019"
133,155-9,ALEX KADYLAKMount Pleasant Area,2019,"West Mifflin Last Chance Meet2ndMay 7, 2019"
133,155-9,ADRIAN VIRUETPocono Mountain West,2019,"EPC/Colonial Conference Championships6thMay 7, 2019 - May 8, 2019"
135,155-5,ALEXANDER BARRONTamaqua Area,2021,"Mount Carmel Area Breslin Invitational3rdApr 18, 2019"
135,155-5,DAVID FRANCOFranklin Regional,2020,"Butler Invitational - 55th Annual5thApr 18, 2019"
137,155-4,DAVID TRAVISLancaster Mennonite,2019,"PIAA District 3 AA Championships4thMay 17, 2019 - May 18, 2019"
138,155-3,LUKE SURUNISBethel Park,2019,"West Mifflin Last Chance Meet3rdMay 7, 2019"
138,155-3,ADAM ROSSETTICarbondale Area Jr/Sr High School,2019,"The Robert Spagna Championship6thMay 7, 2019"
140,155-2,LAKOTA GEHRINGERWilliamson,2019,"Molly Dry Memorial Invitational1stApr 12, 2019"
141,154-8,WESTON MCLAINEastern York,2021,"American JavFest6thJun 28, 2019 - Jun 30, 2019"
142,154-7,SEAN MYRONPocono Mountain East,2019,"Pocono Mountain East vs Stroudsburg3rdApr 9, 2019"
142,154-7,ERIC KECKPalmerton Area,2019,"PIAA District XI AA Championship4thMay 15, 2019 - May 16, 2019"
144,154-3,KEVIN FARRELLBristol,2019,"Bristol, Calvary Christian at Holy Ghost Prep1stApr 29, 2019"
144,154-3,AIDAN MULLReynolds,2021,"PIAA District 10 Class AA Championships4thMay 18, 2019"
144,154-3,RYAN CURRYPerkiomen Valley,2020,"12th Annual Viking Invitational5thApr 13, 2019"
144,154-3,CARMEN SCIULLODeer Lakes,2021,"Butler Invitational - 55th Annual6thApr 18, 2019"
148,154-1,DYLAN SCHEIPEMuhlenberg,2022,"Twin Valley vs. Muhlenberg HS1stApr 2, 2019"
149,154-0,DANTE MEDLARParkland,2020,"EPC/Colonial Conference Championships7thMay 7, 2019 - May 8, 2019"
150,153-11,NATHAN MINNIERShikellamy,2020,"Mifflinburg at Shikellamy2ndApr 30, 2019"
151,153-10,JOSEPH DIMINOCarlisle,2019,"31st Annual Stan Morgan Invitational at Carlisle4thMay 4, 2019"
152,153-9,JASON DEANBlue Mountain,2020,"11th Olympian Invite5thMay 3, 2019"
153,153-8,MATTHEW PULEOHarrisburg Christian School,2021,"31st New Balance Pan-Ram Invitational7thApr 13, 2019"
153,153-8,MICHAEL MARCELLAGreater Nanticoke,2021,"PIAA District 2 AAA Championship9thMay 16, 2019"
155,153-6,SCOTT ORZECHOWSKIBethel Park,2021,"PIAA District 7 (WPIAL) AAA Championships4thMay 16, 2019"
155,153-6,TADD BARRPen Argyl Area,2019,"PIAA District XI AA Championship5thMay 15, 2019 - May 16, 2019"
155,153-6,HUNTER GRUNDENCumberland Valley,2020,"Mid Penn Championship9thMay 11, 2019"
158,153-5,HUNTER ROADARMELShamokin Area,2021,"Shamokin vs Lewisburg1stMay 1, 2019"
159,153-1,JUSTIN HARBAUGHGreenville,2020,"Pine-Richland Invitational2ndMay 3, 2019"
159,153-1,MARSHALL WHIPKEYMcGuffey,2020,"West Mifflin Last Chance Meet4thMay 7, 2019"
159,153-1,EVAN MCALLISTERPenn Trafford,2019,"Butler Invitational - 55th Annual7thApr 18, 2019"
162,152-11,TYLER ELSDONNorth Schuylkill,2020,"Schuylkill League Track and Field Championships4thMay 7, 2019 - May 8, 2019"
163,152-10,BRENNAN ROMANOFFNew Oxford,2019,"Jim Taylor High School Classic (formerly Susq.HS Classic)3rdApr 13, 2019"
164,152-9,THOMAS GONCZICentral Valley HS,2020,"Beaver County Championships1stApr 25, 2019 - Apr 28, 2019"
165,152-8,SHAUN SCANMYRONPocono Mountain East,,"Pocono Mountain East vs Northampton2ndApr 25, 2019"
165,152-8,QUINN SCALESEPurchase Line,2019,"Heritage Conference Championships3rdMay 7, 2019"
165,152-8,SETH KETLERSeneca Valley,2019,"PIAA District 7 (WPIAL) AAA Championships5thMay 16, 2019"
168,152-6,DAVID MCDONALDHopewell,2019,"P3R South Fayette Invitational2ndApr 27, 2019"
169,152-4,GARRETT SEIBERGreenwood,2019,"Tri-Valley League Championships2ndMay 8, 2019"
170,152-0,LEO SATTAMINIStroudsburg,2020,"Cavalier Invitational2ndApr 30, 2019"
170,152-0,JOSE RIVERAWilkes-Barre Area School District,2019,"James Cross Wilkes-Barre Invite3rdMay 4, 2019"
170,152-0,AUSTIN LACKSDover,2019,"YAIAA Track and Field League Championships3rdMay 10, 2019"
170,152-0,RYAN DUELLWest Chester East,2021,"Rustin Invitational4thApr 17, 2019"
174,151-10,DEREK SCHMAELINGThe Hill School,2019,"PA Independent School Athletic Association (PAISAA) Championship1stMay 18, 2019"
174,151-10,JACK SHULENBERGERBig Spring,2021,"18th Bruce Dallas Invitational2ndApr 6, 2019"
174,151-10,TYLER STAUFFERHempfield Area (7),2019,"Lady Spartan/Wildcat Invitational2nd PApr 13, 2019"
177,151-5,NOAH ZIMMERMANTyrone Area,2020,"Clearfield vs PO and Tyrone1stApr 2, 2019"
178,151-4,AARON MARTHNorthampton Area,2019,"Pocono Mountain East vs Northampton3rdApr 25, 2019"
178,151-4,TYLER THUAHNAIGreencastle-Antrim,2020,"Tim Cook Memorial Invitational6thMar 30, 2019"
180,151-2,XANDER DUERKSENDock Mennonite Academy,2019,"PIAA District 1 AA Championships2ndMay 17, 2019 - May 18, 2019"
181,151-1,TREVOR HOGUEBishop Carroll,2019,"Altoona Mt. Lion Track & Field Classic (Small Schools) AA8thMay 3, 2019"
182,151-0.5,PATRICK BREWERValley Speedsters,2020,"Three Rivers Association Championships4thJun 22, 2019 - Jun 23, 2019"
183,151-0,LAWRENCE RICHARDSONBishop McDevitt,2019,"PW Colonial Classic1stApr 6, 2019"
184,150-10,BRETT NORTHEIMERConestoga,2020,"Lower Merion Invitational3rdMay 4, 2019"
184,150-10,LEONARD KRESEFSKIBishop Shanahan,2020,"Ches-Mont Championship3rdMay 8, 2019"
186,150-8,TREY BLAIRHaverford Township HS,2020,"Boys Delco Championship1stMay 2, 2019 - May 4, 2019"
186,150-8,MATT WHITAKERCorry Area,2020,"PIAA District 10 Class AA Championships5thMay 18, 2019"
188,150-5,SAM MUELLERGovernor Mifflin,2019,"90th Annual John H. Shaner Memorial Track Meet3rdMay 3, 2019 - May 4, 2019"
189,150-4,JACK DONCHEZLiberty,2022,"Bethlehem Catholic @ Liberty1stApr 1, 2019"
189,150-4,MATT PAVONEQuakertown,2021,"Helman Memorial Invitational2ndMay 2, 2019"
189,150-4,ARNALDO MONTAGANOOwen J. Roberts,2019,"Pioneer Athletic Conference Championship5thMay 10, 2019 - May 11, 2019"
189,150-4,ANTHONY FUTRICKWilson (3),2019,"2019 BCIAA Firing Championship5thMay 9, 2019 - May 11, 2019"
193,150-3,PAUL SZUBAQuaker Valley,2020,"MAC Meet2ndApr 24, 2019"
194,150-2,JOSH KINGERSKISlippery Rock Area,2022,"PIAA District 10 Class AAA Championships4thMay 18, 2019"
195,150-0,ZAK LUCULLOMount Pleasant Area,2019,"Lady Spartan/Wildcat Invitational3rdApr 13, 2019"
195,150-0,LUKE WALKERLackawanna Trail,2020,"The Robert Spagna Championship8thMay 7, 2019"
197,149-11,TIM MONGMilton Area,2019,"PIAA District 4 AA-AAA Championship7thMay 16, 2019 - May 18, 2019"
197,149-11,ZACK NISSLEYDonegal,2021,"Lebanon-Lancaster League Championship9thMay 10, 2019 - May 11, 2019"
199,149-10,SHANE COXWilmington,2020,"West Middlesex Invitational5thApr 6, 2019"
200,149-9,NICO MARINONew Hope-Solebury,2019,"PIAA District 1 AA Championships4thMay 17, 2019 - May 18, 2019"
201,149-7,NICK SCHZURENorth Catholic,2021,"Northern Area Last Chance1stMay 7, 2019"
201,149-7,CARTER SIMCOXCentral Mountain,2019,"PIAA District 6 AAA Championships2ndMay 16, 2019"
203,149-6,OSKAR STANGWest Allegheny,2021,"PIAA District 7 (WPIAL) AAA Championships7thMay 16, 2019"
204,149-4,WILL HOUSELower Merion,2019,"Pennsylvania Track Classic4thMar 30, 2019"
205,149-3,JACK YUNASKANorth Penn,2019,"SOL Continental Conference Championships2ndMay 10, 2019 - May 11, 2019"
206,149-2,CHRISTOPHER WALTERSSpringfield (Delco),2019,"Upper Darby Relays1stMar 23, 2019"
206,149-2,JOE FULLMEREast Stroudsburg Area South,2020,"East Stroudsburg South vs Pocono Mountain West3rdMar 25, 2019"
206,149-2,LOGAN HARRINGTONCorry Area,2020,"Erie County Track & Field Classic3rd PMay 9, 2019"
209,149-1,TYLER ARMANDPocono Mountain West,2020,"EPC/Colonial Conference Championships9thMay 7, 2019 - May 8, 2019"
210,149-0,DANNY HAMMERSLYTwin Valley,2020,"Upper Darby Relays2ndMar 23, 2019"
210,149-0,HAIDEN SHOBERChartiers Houston,2019,"PIAA District 7 (WPIAL) AA Championships8thMay 16, 2019"
212,148-11,AUSTIN RICHARDSWellsboro Area,2020,"Northern Tier League School Championships1stMay 10, 2019"
213,148-10,DEREK BEAVERSLaSalle College High School,2019,"Philadelphia Catholic League Outdoor Championships1stMay 11, 2019"
213,148-10,CODY SCHERLENorwin,2022,"PIAA District 7 (WPIAL) AAA Championships8thMay 16, 2019"
215,148-9,AVERY MCCONVILLEWaynesburg Central,2020,"Washington Greene County Championship3rdApr 27, 2019"
215,148-9,DANIEL WETHEYWest Chester Rustin,2020,"Lower Merion Invitational4thMay 4, 2019"
215,148-9,JARED HARKASaucon Valley,2019,"EPC/Colonial Conference Championships6thMay 7, 2019 - May 8, 2019"
218,148-7,RYAN LIGHTMuhlenberg,2020,"Whippet Invitational1stApr 6, 2019"
219,148-6,NICK MCGLYNNPittston Area,2019,"James Cross Wilkes-Barre Invite4thMay 4, 2019"
220,148-4,ALEX SHARKUSKIBerwick,2019,"PIAA District 2 AAA Championship12thMay 16, 2019"
221,148-3,JACOB SHAFFERSlippery Rock Area,2019,"20th City of Hermitage Track and Field Invitational5thApr 27, 2019"
222,148-2,DAMIEN ADAMSTowanda,2019,"Northeast Bradford, Towanda, and Wyalusing1stMay 2, 2019"
222,148-2,EVAN ROCCABRUNADelaware Valley,2020,"The Robert Spagna Championship9thMay 7, 2019"
224,148-1,NICK LYONSPennridge,2019,"Central Bucks West Relays1stApr 20, 2019"
224,148-1,COREY MYERSConemaugh Township Area,2019,"Bedford/Richland/Somerset/Con. Twp1stApr 3, 2019"
224,148-1,COLIN HUNSBERGERDock Mennonite Academy,2019,"14th Annual Hoka One One Henderson Invitational7thMay 3, 2019"
227,148-0,VINCE REPHFreedom (11),2022,"Emmaus @ Freedom1stApr 23, 2019"
228,147-11,RYAN THARANPlymouth Whitemarsh,2019,"Upper Moreland Track Invitational2ndApr 12, 2019"
229,147-10,PARKER GEORGESelinsgrove,2019,"Jim Taylor High School Classic (formerly Susq.HS Classic)4thApr 13, 2019"
230,147-8,BRANDON PETERSONSmethport Area,2019,"2019 Franklin Track & Field Invitational3rdApr 13, 2019"
231,147-7,JOSEPH DEJESUSWest York Area,2021,"Blue Jay High School Invitational4thApr 20, 2019"
232,147-6,LOUIS VERNACalvary Christian Academy,2019,"PIAA District 1 AA Championships5thMay 17, 2019 - May 18, 2019"
233,147-5,HUNTER LINHARTPlum,2019,"Pine-Richland Invitational5thMay 3, 2019"
233,147-5,KOLE PETERSONWest Middlesex,2019,"West Middlesex Invitational7thApr 6, 2019"
235,147-4,LUCAS SABOLRichland,2020,"PIAA District 6 AA Championships9thMay 15, 2019"
236,147-2,LOGAN ROGERSCoudersport,2020,"PIAA District 9 AAA and AA Championship7thMay 17, 2019"
236,147-2,ADAM ECKHARTGreater Nanticoke,2020,"PIAA District 2 AAA Championship14thMay 16, 2019"
238,147-1,ZACK RAUGHWest Perry,2021,"PECO Track and Field Meet4thMay 6, 2019"
238,147-1,KYLE KAUFFMANBlue Mountain,2020,"11th Olympian Invite7thMay 3, 2019"
238,147-1,MICHAEL MARRAZZONorthwestern Lehigh,2020,"EPC/Colonial Conference Championships7thMay 7, 2019 - May 8, 2019"
241,146-11,ALEX SHEIPEMuhlenberg,2020,"Leonard Stephan Invitational1stApr 13, 2019"
241,146-11,ISAAC HUEYPurchase Line,2021,"PIAA District 6 AA Championships10thMay 15, 2019"
243,146-10,COLE CORSNERRed Lion,2020,"YAIAA Track and Field League Championships4thMay 10, 2019"
243,146-10,JOHNNY FRANKLINLampeter Strasburg,2019,"17th Annual Black Knight Invitational7thApr 13, 2019"
