RANK,TIME,WIND,ATHLETE/TEAM,GRADE,MEET DATEPLACE
57,22.28,2.4,JADEN PRICE-WHITEHEADUnattached - PA,2021,"AAU Region 3 Championships3rdJun 20, 2019 - Jun 23, 2019"
58,22.3,,BAYDEN LYLEPunxsutawney Area,2019,"PIAA District 9 AAA and AA Championship1stMay 17, 2019"
58,22.3,,ERIC KIRKCoatesville,2019,"Coatesville vs. Downingtown East3rdApr 2, 2019"
58,22.3,,TYRESE REIDAmbler Olympic Club,2020,"AAU Region-02 National Qualifier4th PJun 28, 2019 - Jun 30, 2019"
61,22.31,,DONTE KENTHarrisburg High School,2020,"31st New Balance Pan-Ram Invitational3rdApr 13, 2019"
62,22.32,,EMMANUEL AMPOFONeshaminy,2019,"Council Rock Kiwanis Invitational2nd PApr 6, 2019"
62,22.32,,D'ANGELO STOCKERMalvern Prep,2022,"Inter-Ac League Championships2ndMay 9, 2019 - May 11, 2019"
64,22.33,,CHANDLER KOEHLERGarnet Valley,2019,"Rustin Invitational1stApr 17, 2019"
64,22.33,,DERRICK DAVISGateway,2021,"PIAA District 7 (WPIAL) AAA Championships11th PMay 16, 2019"
66,22.35,,IAN FRANCISDelco Stallions TC,2020,"City of Wilmington Youth Invite1stJun 9, 2019"
67,22.36,,DOMINICK BROWNChester Cheetahs,,"City of Wilmington Youth Invite2ndJun 9, 2019"
67,22.36,,COLIN LEONARDWest Chester Henderson,2019,"Rustin Invitational2ndApr 17, 2019"
67,22.36,,TREVOR NAMANPittsburgh Central Catholic,2020,"Rock Relays2ndApr 20, 2019"
67,22.36,,JACK KRUGBrookville Area,2021,"PIAA District 9 AAA and AA Championship3rdMay 17, 2019"
71,22.39,,ARTIE BURGESSCoatesville,2020,"Rustin Invitational3rdApr 17, 2019"
72,22.4,,DEVON TATELower Merion,2019,"Lower Merion vs Marple Newtown, Strath Haven, Penncrest1stApr 10, 2019"
72,22.4,,NICK MURAWSKIGrove City Area,2019,"PIAA District 10 Class AA Championships2ndMay 18, 2019"
72,22.4,,JACK BUSHEpiscopal Academy,2019,"Inter-Ac League Championships3rdMay 9, 2019 - May 11, 2019"
75,22.41,,TYREK SCIPIOBangor Area,2019,"ASD Invitational1stApr 18, 2019"
76,22.42,,CHRIS ZIMMERMANEpiscopal Academy,2019,"Boys Delco Championship3rd PMay 2, 2019 - May 4, 2019"
76,22.42,,CALEB MEADUpper Moreland,2019,"SOL American Conference Championships4th PMay 10, 2019 - May 11, 2019"
78,22.43,,DAN WHALEYThe Haverford School for Boys,2019,"Inter-Ac League Championships4thMay 9, 2019 - May 11, 2019"
79,22.44,-0.5,SHANE MOSLEYHaverford Township HS,2020,"PIAA District 1 AAA Championships8th SMay 17, 2019 - May 18, 2019"
79,22.44,,KEYGEN BRYANT IINorth Hills,2019,"PIAA District 7 (WPIAL) AAA Championships13th PMay 16, 2019"
81,22.45,,NWABUEZE ONYEMACHIMsgr Bonner & Abp Prendergast HS,2019,"Boys Delco Championship5th PMay 2, 2019 - May 4, 2019"
81,22.45,,DANTE FALASCODelaware County Christian School,2020,"Boys Delco Championship6th PMay 2, 2019 - May 4, 2019"
83,22.46,,TITAN COXManheim Township,2019,"18th Bruce Dallas Invitational3rdApr 6, 2019"
83,22.46,,CHRISTIAN LEWISFarrell,2019,"PIAA District 10 Class AA Championships3rdMay 18, 2019"
85,22.47,,MICHAEL KUSHNERWest Chester East,2019,"West Chester East vs. Avon Grove1stApr 29, 2019"
85,22.47,,DOMINICK BROWNChichester,2019,"Caravel Academy Invitational2ndApr 13, 2019"
85,22.47,,SHAWN SHEPTOCKBerwick,2021,"PIAA District 2 AAA Championship2nd PMay 16, 2019"
85,22.47,,HENRY POLANCOHazleton Area,2019,"PIAA District 2 AAA Championship2nd PMay 16, 2019"
85,22.47,,MICHAEL BOSWORTHBradford Area,2019,"PIAA District 9 AAA and AA Championship2ndMay 17, 2019"
90,22.48,,CARSON BOGDAAvon Grove,2020,"Ches-Mont Championship3rdMay 8, 2019"
90,22.48,,MALACHI LANGLEYThe Athletes Academy,,"AAU Mid-Atlantic District Qualifier6thJun 14, 2019 - Jun 16, 2019"
92,22.49,0,LEBRON BESSICKCoatesville,2022,"PIAA District 1 AAA Championships10th SMay 17, 2019 - May 18, 2019"
93,22.5,,JASON HAIRSTON IIMoon Area,2020,"P3R South Fayette Invitational2ndApr 27, 2019"
93,22.5,,ALEXANDER SIATONWest Chester Track Club,2020,"AAU Region-02 National Qualifier7th PJun 28, 2019 - Jun 30, 2019"
93,22.5,,JAMES NMAHPenn Wood,2020,"Boys Delco Championship8th PMay 2, 2019 - May 4, 2019"
96,22.51,0,TREVOR PASCHALLStallions Youth Track Club,2022,"Three Rivers Association Championships1stJun 22, 2019 - Jun 23, 2019"
96,22.51,,DREW ROMANEast Pennsboro Area SD,2019,"Mid Penn Championship4thMay 11, 2019"
96,22.51,,JAMES KOLIYAHHarry S Truman,2019,"Lower Merion Invitational6thMay 4, 2019"
96,22.51,,GUERNEL MARCELLUSWarwick,2020,"14th Annual Hoka One One Henderson Invitational7thMay 3, 2019"
100,22.52,,JARRIN GEISINGERJim Thorpe Area,2019,"PIAA District XI AA Championship1stMay 15, 2019 - May 16, 2019"
100,22.52,1.9,SHAWN BURRELLSpringfield Township (Montco),2019,"Pennsylvania Track Classic2nd PMar 30, 2019"
100,22.52,,ANDREW DADOWSKIShaler Area,2021,"Pine-Richland Invitational2ndMay 3, 2019"
100,22.52,,ZACHARY RISSERTulpehocken,2019,"2019 BCIAA Firing Championship2ndMay 9, 2019 - May 11, 2019"
100,22.52,,TAALIB HOLLOMANAbington Friends,2019,"PA Independent School Athletic Association (PAISAA) Championship2ndMay 18, 2019"
100,22.52,,CALEB RYUAmbler Olympic Club,2021,"AAU Mid-Atlantic District Qualifier7thJun 14, 2019 - Jun 16, 2019"
106,22.53,,FERNANDO DELGADOWilliam Tennent,2021,"Council Rock Kiwanis Invitational4thApr 6, 2019"
106,22.53,,MALCOLM FOLKEpiscopal Academy,2021,"Inter-Ac League Championships5thMay 9, 2019 - May 11, 2019"
106,22.53,,DELLON BURNELLMartin Luther King HS,2020,"Philadelphia Public League Championships6th PMay 8, 2019 - May 9, 2019"
109,22.54,,SAHMIR HAGANSSaint Joseph's Prep,2021,"Philadelphia Catholic League Outdoor Championships4thMay 11, 2019"
109,22.54,,MARCUS GAINERDowningtown West,2020,"Ches-Mont Championship6thMay 8, 2019"
109,22.54,,DUNCAN TARPHENPenn Wood,2019,"Boys Delco Championship7th PMay 2, 2019 - May 4, 2019"
109,22.54,,MARQUISE FIELDSChichester,2021,"Boys Delco Championship9th PMay 2, 2019 - May 4, 2019"
113,22.55,,TRE'SEAN BOUIENeumann Goretti,2019,"31st Father Judge Relays2nd PApr 17, 2019"
113,22.55,,AJ VIRATARed Lion,2021,"YAIAA Track and Field League Championships2ndMay 10, 2019"
113,22.55,,JORDAN LAGANANortheastern,2020,"14th Annual Hoka One One Henderson Invitational8thMay 3, 2019"
116,22.56,,ISRAEL MCLEANDallastown,2019,"YAIAA Track and Field League Championships3rdMay 10, 2019"
117,22.57,,KENSON THOMASPocono Mountain West,2021,"EPC/Colonial Conference Championships1stMay 7, 2019 - May 8, 2019"
118,22.58,,ALBERTO FERNANDEZThe Hill School,2020,"MAPL Outdoor Championship1stMay 11, 2019"
118,22.58,,KYLE ADAMSWarren Area,2019,"PIAA District 10 Class AAA Championships1stMay 18, 2019"
120,22.59,,DAVON TATELower Merion,2019,"Central League Individual Champs1stMay 8, 2019"
120,22.59,,AHMED BARRIEPenncrest,2019,"Lower Merion vs Marple Newtown, Strath Haven, Penncrest2ndApr 10, 2019"
120,22.59,,MILES JOWERSRoman Catholic,2019,"PIAA District 12 AAA Championships4th PMay 15, 2019 - May 16, 2019"
123,22.6,,KABANU WITHERSPOONGirard College HS,2020,"Penn Jersey League Meet 21stMay 2, 2019"
123,22.6,,JEREMY SMITHLINECouncil Rock North,2020,"S.O.L. National Conference Championships3rdMay 10, 2019 - May 11, 2019"
125,22.61,,DEVON WESTLiberty,2019,"PIAA District XI AAA Championship1st PMay 15, 2019 - May 16, 2019"
125,22.61,,ZAKHAREE WILLIAMSGreater Latrobe,2019,"Lady Spartan/Wildcat Invitational2ndApr 13, 2019"
125,22.61,,MARQUISE FIELDSChester Cheetahs,2021,"AAU Region-02 National Qualifier8th PJun 28, 2019 - Jun 30, 2019"
128,22.62,,DEMETRIS MCKNIGHTNew Castle,2020,"Pine-Richland Invitational4th PMay 3, 2019"
129,22.64,,AJ DORMANDeer Lakes,2020,"Pine-Richland Invitational6th PMay 3, 2019"
130,22.65,,ANDREW GALARZAHamburg Area,2019,"Sterling Hoffman Track & Field Invitational1stApr 12, 2019"
130,22.65,,JONATHAN MORRISThe Neighborhood Academy,2020,"PIAA District 7 (WPIAL) AA Championships4th PMay 16, 2019"
130,22.65,,IAN FRANCISAcademy Park,2020,"Boys Delco Championship12th PMay 2, 2019 - May 4, 2019"
133,22.66,,SAM MAGERNorth Catholic,2019,"TSTCA Outdoor Championship3rdApr 13, 2019"
133,22.66,,JOE FOLKShikellamy,2019,"PIAA District 4 AA-AAA Championship3rdMay 16, 2019 - May 18, 2019"
133,22.66,1.4,AMERE DICKINSONLancaster City Track Club,,"USATF National Junior Olympic Track & Field Championships44th PJul 22, 2019 - Jul 28, 2019"
136,22.67,,DREW GALLENWest Chester Rustin,2021,"American Division Open1stMay 1, 2019"
136,22.67,,MARCUS WILLIAMSEaston Area,2022,"PIAA District XI AAA Championship1stMay 15, 2019 - May 16, 2019"
136,22.67,,JAMISON MOCCIABoyertown,2020,"Pioneer Athletic Conference Championship3rdMay 10, 2019 - May 11, 2019"
136,22.67,,DARRYN OUKDelaware Valley,2019,"PIAA District 2 AAA Championship4th PMay 16, 2019"
136,22.67,,LUCAS TILFORDShikellamy,2019,"PIAA District 4 AA-AAA Championship4thMay 16, 2019 - May 18, 2019"
136,22.67,,MALIK GRIFFINNeumann Goretti,2020,"PIAA District 12 AA Championships5th PMay 15, 2019 - May 16, 2019"
142,22.68,,JACKSON YANICHSusquehanna Township,2020,"31st Annual Stan Morgan Invitational at Carlisle5thMay 4, 2019"
142,22.68,,ERIC FORDLaSalle College High School,2020,"Philadelphia Catholic League Outdoor Championships5thMay 11, 2019"
144,22.69,,BRIAN MCDONOUGHGreat Valley,2019,"Lower Merion Invitational8thMay 4, 2019"
145,22.7,,DAMIAN HUDSONAthens Area,2020,"Northern Tier League School Championships1stMay 10, 2019"
145,22.7,,TYLER YURICHSeneca Valley,2022,"Rock Relays3rdApr 20, 2019"
145,22.7,,JUSTIN HUSSDerry Area,2020,"PIAA District 7 (WPIAL) AA Championships5th PMay 16, 2019"
145,22.7,,SHANE KAUFFMANWest York Area,2019,"17th Annual Black Knight Invitational8thApr 13, 2019"
145,22.7,,LUCKY KROMAHJust Do It Track Club,2020,"AAU Mid-Atlantic District Qualifier10thJun 14, 2019 - Jun 16, 2019"
150,22.71,0,RITISH SHARMABensalem,2020,"PIAA District 1 AAA Championships13th SMay 17, 2019 - May 18, 2019"
151,22.72,,ANTHONY BRUNOPerkiomen Valley,2020,"Pioneer Athletic Conference Championship4thMay 10, 2019 - May 11, 2019"
152,22.73,,CHRISTIAN MCCAFFREYUpper Darby,2019,"Central League Individual Champs2ndMay 8, 2019"
152,22.73,,CHRISTIAN COLEOil City,2019,"Oil Country Invitational3rdMay 4, 2019"
152,22.73,,DANILE WESTPAYEBartram High School,2019,"Philadelphia Public League Championships7th PMay 8, 2019 - May 9, 2019"
155,22.74,,ZANDER BRADLEYCentral Columbia,2020,"Loyalsock Twp. @ Central Columbia1stApr 10, 2019"
155,22.74,,JARED VERSECentral Columbia,2019,"Jim Taylor High School Classic (formerly Susq.HS Classic)2ndApr 13, 2019"
155,22.74,,AUSTIN NICEDock Mennonite Academy,2019,"12th Annual Viking Invitational3rd PApr 13, 2019"
158,22.75,,TREVOR TUSTINRichland,2020,"PIAA District 6 AA Championships2ndMay 15, 2019"
158,22.75,,DANIEL ANDRISDowningtown East,2019,"Ches-Mont Championship9thMay 8, 2019"
160,22.76,,MARKEYCE HUGHESCentral Dauphin,2021,"Central Dauphin vs Cumberland Valley2ndMay 7, 2019"
160,22.76,,JAMES NMAHThe Athletes Academy,,"AAU Mid-Atlantic District Qualifier13thJun 14, 2019 - Jun 16, 2019"
162,22.77,,TAHMIR SPENCERLehighton,2019,"ASD Invitational2ndApr 18, 2019"
162,22.77,,LUBENS MYERSEmmaus,2019,"EPC/Colonial Conference Championships2nd PMay 7, 2019 - May 8, 2019"
164,22.78,,LIAM CREELEYHaverford Township HS,2020,"Boys Delco Championship13th PMay 2, 2019 - May 4, 2019"
165,22.79,,ANTONIO PITTSPenn Hills Eagles TC,2022,"USATF Three Rivers Developmental Meet2ndJun 8, 2019"
166,22.8,,TERRENCE GAINERDowningtown West,2020,"Downingtown East vs. Avon Grove vs. Downingtown West1stApr 10, 2019"
166,22.8,,COLE BOBACKCarlisle,2019,"Carlisle vs Cumberland Valley2ndApr 23, 2019"
166,22.8,,ROBERT GROVEWest Chester Henderson,2019,"Whippet Invitational3rdApr 6, 2019"
166,22.8,,COLLIN TAITPenncrest,2019,"Lower Merion vs Marple Newtown, Strath Haven, Penncrest3rdApr 10, 2019"
166,22.8,,JAVONTE HAYNESLiberty,2019,"EPC/Colonial Conference Championships3rd PMay 7, 2019 - May 8, 2019"
171,22.81,,DEANDRE WAKEFIELDSouderton Area,2020,"Cavalier Invitational1stApr 30, 2019"
171,22.81,,MATT KISTLERTamaqua Area,2020,"Mount Carmel Area Breslin Invitational1stApr 18, 2019"
171,22.81,,BRYSON MOOREMilton Hershey,2019,"PW Colonial Classic3rdApr 6, 2019"
171,22.81,,STEVEN GRAVESSusquehanna Township,2020,"Blue Jay High School Invitational3rdApr 20, 2019"
175,22.82,,ETHAN CAPITANOWilson (3),2021,"2019 BCIAA Firing Championship3rdMay 9, 2019 - May 11, 2019"
175,22.82,,TRYSTAN BECKETTBensalem,2020,"Council Rock Kiwanis Invitational5thApr 6, 2019"
175,22.82,,JOLLY EKPEQuakertown,2020,"12th Annual Viking Invitational5th PApr 13, 2019"
175,22.82,,JAMIR BARNESCheltenham,2020,"SOL American Conference Championships7th PMay 10, 2019 - May 11, 2019"
179,22.83,,JACK WASSERMANPennridge,2020,"Helman Memorial Invitational3rdMay 2, 2019"
179,22.83,,JAJUAN OLIVERHarrisburg High School,2021,"Mid Penn Championship6thMay 11, 2019"
179,22.83,,BRYCE KURPIELGreensburg Central Catholic,2019,"PIAA District 7 (WPIAL) AA Championships6th PMay 16, 2019"
179,22.83,,JUSTIN ZUPITOGreat Valley,2019,"Lower Merion Invitational9thMay 4, 2019"
179,22.83,,JAKE GORMANRinggold,2020,"46th Annual Baldwin Invitational10th PMay 3, 2019"
184,22.84,,REMIAH REDDOxford Area,2019,"Warrior Classic1stMay 11, 2019"
184,22.84,,KARTER JONESChambersburg,2021,"Chambersburg vs Cumberland Valley2ndApr 16, 2019"
184,22.84,,BROOKS COUGHENOURYork Suburban,2021,"YAIAA Track and Field League Championships5thMay 10, 2019"
184,22.84,,GEORGE OKYNEUpper Darby,2021,"Boys Delco Championship10thMay 2, 2019 - May 4, 2019"
188,22.85,,THOMAS BROSSBermudian Springs,2019,"PIAA District 3 AA Championships2nd SMay 17, 2019 - May 18, 2019"
188,22.85,,JORDAN MONGANPlymouth Whitemarsh,2019,"SOL American Conference Championships6th PMay 10, 2019 - May 11, 2019"
188,22.85,,RYAN MARCELLAButler,2019,"46th Annual Baldwin Invitational11th PMay 3, 2019"
188,22.85,,VATSAL SUDANIPeters Township,2019,"46th Annual Baldwin Invitational11th PMay 3, 2019"
192,22.86,,ERIC GALANTEThe Hill School,2020,"Hill vs. Lawrenceville2ndApr 10, 2019"
192,22.86,,KE'SHAWN WILLIAMSSpringside Chestnut Hill Academy,2020,"Inter-Ac League Championships7thMay 9, 2019 - May 11, 2019"
192,22.86,,ANGELO PRIOREBaldwin,2020,"46th Annual Baldwin Invitational13th PMay 3, 2019"
195,22.87,,SCOTT STANYARDHarbor Creek,2020,"34th McDowell Invitational2ndApr 27, 2019"
196,22.88,,MITCHELL LAWHEADAltoona Area,2019,"Central Mountain @ Altoona1stApr 9, 2019"
196,22.88,,LIAM CREELEYDelco Stallions TC,,"City of Wilmington Youth Invite5thJun 9, 2019"
198,22.89,,KURT VONCOLLNAltoona Area,2019,"Altoona Mt. Lion Track & Field Classic (Large Schools) AAA1st PMay 3, 2019"
198,22.89,,ZAAHID KENNEDYEngineering & Science,2019,"Philadelphia Public League Championships9th PMay 8, 2019 - May 9, 2019"
200,22.9,,KAMDEN MARTINCanon-McMillan,2019,"Morgantown Invitational1st PApr 6, 2019"
200,22.9,,PAYTON STANZIANIBoyertown,2019,"Pioneer Athletic Conference Championship1st PMay 10, 2019 - May 11, 2019"
200,22.9,,CABE PARKBrookville Area,2019,"Brookville vs. Oil City2ndMay 7, 2019"
200,22.9,,DAVID WILLIAMSCumberland Valley,2021,"Carlisle vs Cumberland Valley3rdApr 23, 2019"
204,22.92,,TRENTON JUBINCanon-McMillan,2021,"Morgantown Invitational2ndApr 6, 2019"
204,22.92,,JEHVONN LEWISBethel Park,2020,"West Mifflin Last Chance Meet3rdMay 7, 2019"
204,22.92,,JADIN LUGOLouis E. Dieruff,2020,"PIAA District XI AAA Championship8th PMay 15, 2019 - May 16, 2019"
204,22.92,,SCOTT HONICKEROwen J. Roberts,2019,"14th Annual Hoka One One Henderson Invitational13thMay 3, 2019"
208,22.93,,TIMOTHY BUDASalisbury Township,2020,"PIAA District XI AA Championship2ndMay 15, 2019 - May 16, 2019"
208,22.93,,MATT RUSSINKOManheim Township,2020,"Lebanon-Lancaster League Championship4th PMay 10, 2019 - May 11, 2019"
208,22.93,,JAKOB SMOLINSKYEmmaus,2020,"EPC/Colonial Conference Championships5th PMay 7, 2019 - May 8, 2019"
208,22.93,,AJWAUN MCDANIELDallastown,2019,"YAIAA Track and Field League Championships5th PMay 10, 2019"
208,22.93,,MATTHEW HORAKWallenpaupack,2020,"PIAA District 2 AAA Championship5th PMay 16, 2019"
208,22.93,,TERRANCE QUAKERWest Perry,2019,"Mid Penn Championship8thMay 11, 2019"
208,22.93,,NOAH CLICKETTAvonworth / Northgate,2019,"Pine-Richland Invitational10th PMay 3, 2019"
215,22.94,,TAHIR THOMPSONPocono Mountain East,2019,"PIAA District XI AAA Championship3rdMay 15, 2019 - May 16, 2019"
215,22.94,,JUSTIN EGIZIOCanon-McMillan,2021,"West Mifflin Last Chance Meet4thMay 7, 2019"
215,22.94,,NISHAWN JOHNSONChester,2021,"Boys Delco Championship15th PMay 2, 2019 - May 4, 2019"
218,22.95,,NOAH LANOUETTEConestoga,2020,"Lower Merion Invitational11thMay 4, 2019"
219,22.96,,JUSTIN CALHOUNPlymouth Whitemarsh,2019,"SOL American Conference Championships8th PMay 10, 2019 - May 11, 2019"
219,22.96,,MATTHEW PURCELLFather Judge,2019,"Philadelphia Catholic League Outdoor Championships9thMay 11, 2019"
221,22.97,,NOLAN LARKINBerks Catholic,2021,"2019 BCIAA Firing Championship4thMay 9, 2019 - May 11, 2019"
221,22.97,,ANDREW BIESECKERGarnet Valley,2019,"Rustin Invitational6thApr 17, 2019"
223,22.98,,LOGAN WILLIAMSHomer Center,2019,"Heritage Conference Championships2ndMay 7, 2019"
223,22.98,,AARON STASKOPalmerton Area,2019,"ASD Invitational4thApr 18, 2019"
225,22.99,,KENDALL WHITEBishop McDevitt,2021,"Trojan Track Classic3rdMay 2, 2019"
225,22.99,,ROMAN KATONACentral Bucks West,2020,"Helman Memorial Invitational5thMay 2, 2019"
225,22.99,,JEPEL GIBBSCedar Crest,2019,"Lebanon-Lancaster League Championship5thMay 10, 2019 - May 11, 2019"
225,22.99,,GUILLAUME LAFORESTThe Haverford School for Boys,2021,"Inter-Ac League Championships8thMay 9, 2019 - May 11, 2019"
229,23,,ELIJAH YAKPASUORidley,2019,"Boys Delco Championship17th PMay 2, 2019 - May 4, 2019"
230,23.01,,CONNOR ADAMSAltoona Area,2019,"Penn Hills @ Altoona1stApr 23, 2019"
230,23.01,,JORDAN MORSENorristown,2021,"Pioneer Athletic Conference Championship5thMay 10, 2019 - May 11, 2019"
232,23.02,,IAN BAKERMercyhurst Preparatory,2020,"Harbor Creek Track & Field Invitational1st PApr 13, 2019"
232,23.02,,SPENCER MOCHULSKIDowningtown West,2020,"BSHS .v. Downingtown West Dual Meet1stApr 22, 2019"
232,23.02,,DANIEL KUNZIGKennett,2020,"American Division Open2ndMay 1, 2019"
232,23.02,,ANDREW MASONKiski Area,2019,"Northern Area Last Chance2ndMay 7, 2019"
